tabla_ine,variable,anyo,I,cnae_55,cnae_56,share_55,share_56
76815,Trabajos realizados por la empresa para su activo,2023,104353.0,81972.0,22381.0,0.785526,0.214474
76815,Trabajos realizados por la empresa para su activo,2024,86615.0,58417.0,28197.0,0.674444,0.325544
76815,Valor añadido a coste de los factores,2018,34592625.0,13980816.0,20611809.0,0.404156,0.595844
76815,Valor añadido a coste de los factores,2019,37057252.0,14929390.0,22127862.0,0.402874,0.597126
76815,Valor añadido a coste de los factores,2020,14966732.0,2937502.0,12029230.0,0.196269,0.803731
76815,Valor añadido a coste de los factores,2021,27712108.0,8860015.0,18852094.0,0.319716,0.680284
76815,Valor añadido a coste de los factores,2022,40852308.0,16079624.0,24772684.0,0.393604,0.606396
76815,Valor añadido a coste de los factores,2023,46984226.0,19338679.0,27645547.0,0.411599,0.588401
76815,Valor añadido a coste de los factores,2024,54516891.0,22359654.0,32157237.0,0.410142,0.589858
76815,Valor añadido a precios de mercado,2018,35174150.0,14376775.0,20797375.0,0.408731,0.591269
76815,Valor añadido a precios de mercado,2019,37407280.0,15227450.0,22179830.0,0.407072,0.592928
76815,Valor añadido a precios de mercado,2020,14682686.0,2887733.0,11794953.0,0.196676,0.803324
76815,Valor añadido a precios de mercado,2021,25452373.0,7913618.0,17538754.0,0.310919,0.689081
76815,Valor añadido a precios de mercado,2022,41171336.0,16403219.0,24768118.0,0.398414,0.601586
76815,Valor añadido a precios de mercado,2023,47479896.0,19763851.0,27716045.0,0.416257,0.583743
76815,Valor añadido a precios de mercado,2024,55250548.0,22901458.0,32349091.0,0.414502,0.585498
76815,Valor de la producción,2018,76540473.0,26030180.0,50510293.0,0.340084,0.659916
76815,Valor de la producción,2019,81304390.0,28149820.0,53154570.0,0.346228,0.653772
76815,Valor de la producción,2020,40103179.0,9116851.0,30986328.0,0.227335,0.772665
76815,Valor de la producción,2021,61044069.0,16669559.0,44374510.0,0.273074,0.726926
76815,Valor de la producción,2022,92400576.0,31167086.0,61233490.0,0.337304,0.662696
76815,Valor de la producción,2023,104455756.0,36510346.0,67945410.0,0.349529,0.650471
76815,Valor de la producción,2024,117878867.0,41519568.0,76359299.0,0.352222,0.647778
76815,Variación de existencias de productos terminados y en curso,2018,15147.0,-1016.0,16163.0,-0.067076,1.067076
76815,Variación de existencias de productos terminados y en curso,2019,-12272.0,-40522.0,28250.0,3.301988,-2.301988
76815,Variación de existencias de productos terminados y en curso,2020,-22750.0,-40237.0,17487.0,1.768659,-0.768659
76815,Variación de existencias de productos terminados y en curso,2021,40422.0,-4785.0,45207.0,-0.118376,1.118376
76815,Variación de existencias de productos terminados y en curso,2022,66203.0,20938.0,45265.0,0.31627,0.68373
76815,Variación de existencias de productos terminados y en curso,2023,121732.0,53076.0,68656.0,0.436007,0.563993
76815,Variación de existencias de productos terminados y en curso,2024,169150.0,94024.0,75126.0,0.555862,0.444138
76816,España / Cifra de negocios,2018,71636097.0,20810393.0,50825703.0,0.290501,0.709498
76816,España / Cifra de negocios,2019,77053267.0,23245971.0,53807296.0,0.301687,0.698313
76816,España / Cifra de negocios,2020,40586073.0,7869193.0,32716880.0,0.193889,0.806111
76816,España / Cifra de negocios,2021,59585164.0,15524270.0,44060894.0,0.260539,0.739461
76816,España / Cifra de negocios,2022,90257771.0,29339042.0,60918730.0,0.325058,0.674942
76816,España / Cifra de negocios,2023,101810867.0,34212572.0,67598295.0,0.33604,0.66396
76816,España / Cifra de negocios,2024,114237258.0,38898850.0,75338408.0,0.340509,0.659491
76816,Fuera de la Unión Europea y otros / Cifra de negocios,2018,1247716.0,1072586.0,175131.0,0.85964,0.140361
76816,Fuera de la Unión Europea y otros / Cifra de negocios,2019,1253606.0,1130403.0,123203.0,0.901721,0.098279
76816,Fuera de la Unión Europea y otros / Cifra de negocios,2020,294537.0,269237.0,25301.0,0.914102,0.085901
76816,Fuera de la Unión Europea y otros / Cifra de negocios,2021,223626.0,179811.0,43815.0,0.80407,0.19593
76816,Fuera de la Unión Europea y otros / Cifra de negocios,2022,614501.0,384697.0,229804.0,0.626032,0.373968
76816,Fuera de la Unión Europea y otros / Cifra de negocios,2023,790877.0,535097.0,255780.0,0.676587,0.323413
76816,Fuera de la Unión Europea y otros / Cifra de negocios,2024,963807.0,613677.0,350130.0,0.636722,0.363278
76816,Total / Cifra de negocios,2018,77722422.0,26453806.0,51268615.0,0.340363,0.659637
76816,Total / Cifra de negocios,2019,82767988.0,28558378.0,54209610.0,0.345041,0.654959
76816,Total / Cifra de negocios,2020,42014129.0,9206815.0,32807314.0,0.219136,0.780864
76816,Total / Cifra de negocios,2021,60634449.0,16464728.0,44169721.0,0.271541,0.728459
76816,Total / Cifra de negocios,2022,92418178.0,31177126.0,61241052.0,0.337348,0.662652
76816,Total / Cifra de negocios,2023,104442692.0,36478516.0,67964177.0,0.349268,0.650732
76816,Total / Cifra de negocios,2024,117440434.0,41467328.0,75973106.0,0.353092,0.646908
76816,UE28 sin España / Cifra de negocios,2018,4838609.0,4570828.0,267781.0,0.944657,0.055343
76816,UE28 sin España / Cifra de negocios,2019,4461115.0,4182004.0,279111.0,0.937435,0.062565
76816,UE28 sin España / Cifra de negocios,2020,1133519.0,1068385.0,65134.0,0.942538,0.057462
76816,UE28 sin España / Cifra de negocios,2021,825659.0,760646.0,65013.0,0.921259,0.078741
76816,UE28 sin España / Cifra de negocios,2022,1545906.0,1453387.0,92519.0,0.940152,0.059848
76816,UE28 sin España / Cifra de negocios,2023,1840949.0,1730847.0,110102.0,0.940193,0.059807
76816,UE28 sin España / Cifra de negocios,2024,2239369.0,1954801.0,284568.0,0.872925,0.127075
